Title	URL	Location	Location URL	Author	Date Visited	Site Report Type	Place Types	Status	Public Summary	District	Subject	Latitude	Longitude
Site Visit at Refugee Camp 	http://www.devtrac.ug/node/10367	Refugee Camp	http://www.devtrac.ug/node/10366	Jan van Diepen	28/10/2013	Site Visit	Refugee Camp	In Progress		Agago		2.97314	33.2782
FHDs Monitoring at Fazul Mosque in Arua 	http://www.devtrac.ug/node/10355	FHDs 3rd weekend Monitoring in Arua/Yumbe	http://www.devtrac.ug/node/9726	Irene Nabisere	23/07/2013	Site Visit	Faith-based Organisation	In Progress	" Monitoring FHDs at Fazul Mosque
 "	Arua	Infectious disease control	2.7115	30.9046
Site Visit at Lukwor North 	http://www.devtrac.ug/node/10357	Lukwor North	http://www.devtrac.ug/node/10356	Irene Nabisere	23/07/2013	Site Visit	Primary School	In Progress		Amuru		2.81369	31.4293
Trainingat UNICEF MZO 	http://www.devtrac.ug/node/10351	UNICEF MZO	http://www.devtrac.ug/node/10350	Irene Nabisere	15/07/2013	Site Visit	Office	In Progress	" dfghsajkdhfsj
 "	Moroto	Advanced technical and managerial training, Human rights	2.52873	34.6725
Briefing at Kabarole District Headquarters 	http://www.devtrac.ug/node/10348	Kabarole District Headquarters	http://www.devtrac.ug/node/1583	Irene Nabisere	08/07/2013	Site Visit	Government Office	In Progress	" Meeting with District Local Government
 "	Kabarole	Employment policy and administrative management	0.670151	30.2673
Site Visit at Rwenzori Diocese HQ 	http://www.devtrac.ug/node/10253	Rwenzori Diocese HQ	http://www.devtrac.ug/node/7658	Irene Nabisere	18/04/2013	Site Visit	Faith-based Organisation	In Progress	" dferfggfhtfmyffgtcuffdtr
 "	Kabarole	Infectious disease control	0.643181	30.3014
Site Visit at makukulu 	http://www.devtrac.ug/node/10255	makukulu	http://www.devtrac.ug/node/10254	Grace Ekudu-Adoku	18/04/2013	Site Visit	Faith-based Organisation	In Progress		Bukomansimbi			
Site Visit at Kakabara Primary School 	http://www.devtrac.ug/node/10256	Kakabara Primary School	http://www.devtrac.ug/node/3298	Daphne Mugizi	18/04/2013	Site Visit	Primary School	In Progress	" jdhfoqiu
 "	Kyegegwa	Basic drinking water supply and basic sanitation	0.543272	30.95
monitoring supplies at Kalas girls school	http://www.devtrac.ug/node/10271	Kalas girls and Kalas boys	http://www.devtrac.ug/node/10270	Dorothy Nakibuuka	15/04/2013	Site Visit	Primary Government School	In Progress	" Monitored boarding kit supplies that had been provided to boys and girls who had returned to school in 2012.
 "	Amudat	Education facilities and training		
Mobile VRS refresher training for staff at Kalori Lwanga Nyakibaale Hospital 	http://www.devtrac.ug/node/10219	Mobile VRS refresher training for staff at Nyakibaale Hospital	http://www.devtrac.ug/node/10218	Harriet Nambassa Kajubi	13/04/2013	Site Visit	Hospital	In Progress	" Kalori lwanga Nyakibaale located in Sheema District
Average deliveries of .....
Stable power supply with a generator for back-up
 "	Sheema	Human rights		
Mobile VRS refresher training for staff in Kitagata Hospital 	http://www.devtrac.ug/node/10221	Mobile VRS refresher training for staff in Kitagata Hospital	http://www.devtrac.ug/node/10220	Harriet Nambassa Kajubi	13/04/2013	Site Visit	Hospital	In Progress	" Kitagata Hospital situated in Rukungiri District
Average 150 Births a month
 "	Rukungiri	Human rights		
Site Visit at Vurra HCIII 	http://www.devtrac.ug/node/10200	Vurra HCIII	http://www.devtrac.ug/node/10199	Jacob Opiyo	12/04/2013	Site Visit	Health Centre III	In Progress	" Vurra HCIII is one of the largest health centres in the county saving an average of 120 patients in a day. The HC has a total of 8 technical staffs however; the expected number in the facility is 12. Besides the routine medical services, the HC also runs a youth friendly centre which is once a month, providing VCTs to the youth the areas
 "	Arua	Infectious disease control	2.9337	30.9441
MVRS Refresher training Mutolere Hospital 	http://www.devtrac.ug/node/10205	Mutolere Hospital	http://www.devtrac.ug/node/10204	Harriet Nambassa Kajubi	12/04/2013	Site Visit	Hospital	In Progress	" -Hospital has an average of 5 births per day and 150 per month.
-Hospital provided with necessary equipment to make the Mobile VRS functional- Internet Modem, Netbook (Laptop), Printer, Printing Paper, B&D Declaration forms
-Hospital has a generator to cater for power fluctuations
-Mobile VRS up and running
 "	Kisoro	Human rights		
Monitored boarding kit supplies and solar lighting in dormitories of Kakingol 	http://www.devtrac.ug/node/10273	Kakingol and Nawanatau	http://www.devtrac.ug/node/10272	Dorothy Nakibuuka	12/04/2013	Site Visit	Primary Government School	In Progress	" ewrfyrygt
 "	Moroto	Education facilities and training		
drugs at Agago health center II 	http://www.devtrac.ug/node/10193	Agago health center II	http://www.devtrac.ug/node/10192	Modibo Kassogue	11/04/2013	Site Visit	Health Centre II	In Progress	" abc
 "	Agago	Infectious disease control		
Site Visit at olilim HCII 	http://www.devtrac.ug/node/10184	olilim HCII	http://www.devtrac.ug/node/10183	Martha Opeitum	10/04/2013	Site Visit	Health Centre II	In Progress	" vgdfvgbhjxegd
 "	Katakwi	Infectious disease control		
WASH observations at Kakuuto Health Centre IV	http://www.devtrac.ug/node/10210			Harriet Nambassa Kajubi	10/04/2013	Roadside Observation		In Progress	" gsgsgsf
 "	Rakai	Water supply and sanitation - large systems		
Mobile VRS Refresher training and set-up of equipment at Itojo Hospital- Ntungamo 	http://www.devtrac.ug/node/10215	Itojo Hospital- Ntungamo	http://www.devtrac.ug/node/10214	Harriet Nambassa Kajubi	10/04/2013	Site Visit	Hospital	In Progress	" Fast Facts:
-Hospital has an average of 234 deliveries per month
-Hospital supplied with equipment for Mobile VRS and staff trained on the system usage.
-Mobile VRS is functional in the Hospital
.
 "	Ntungamo	Human rights		
District Dialogue meeting  at St. Yona Secondary School 	http://www.devtrac.ug/node/10268	St. Yona Secondary School	http://www.devtrac.ug/node/10267	Rosemary Rugamba	10/04/2013	Site Visit	Secondary Private School	In Progress	" The Ministry of Education & Sports organised district dialogue meetings in the Busoga region to popularise the Education Act 2008.  The meetings were hosted by the Minister of State for Primary Education, Director of Basic & Secondary education and commissioners from the depts of Basic Education, Teacher Education and Ministry of Public service.  UNICEF Uganda supported the meetings.
 "	Mayuge	Education policy and administrative management, Secondary education		
MVRS Refresher training at Nkozi Hospital 	http://www.devtrac.ug/node/10207	Nkozi Hospital	http://www.devtrac.ug/node/10206	Harriet Nambassa Kajubi	09/04/2013	Site Visit	Hospital	In Progress	" gjcfhgsfygv
 "	Mpigi	Human rights		
Site Visit at Kakuuto HC4 	http://www.devtrac.ug/node/10209	Kakuuto HC4	http://www.devtrac.ug/node/10208	Harriet Nambassa Kajubi	09/04/2013	Site Visit	Health Centre IV	In Progress		Rakai			
Site Visit at Mobile VRS refresher training in Rushere Hospital 	http://www.devtrac.ug/node/10217	Mobile VRS refresher training in Rushere Hospital	http://www.devtrac.ug/node/10216	Harriet Nambassa Kajubi	09/04/2013	Site Visit	Hospital	In Progress		Kiruhura			
Kamuli Local government headquarters	http://www.devtrac.ug/node/10266	Balawoli SC	http://www.devtrac.ug/node/9890	Rosemary Rugamba	09/04/2013	Site Visit	Government Office	In Progress	" The Ministry of Education & Sports organised district dialogue meetings in the Busoga region to popularise the Education Act 2008.  The meetings were hosted by the Minister of State for Primary Education, Director of Basic & Secondary education and commissioners from the depts of Basic Education, Teacher Education and Ministry of Public service.  UNICEF Uganda supported the meetings.
 "	Kamuli	Education policy and administrative management, Primary education	0.933993	32.9635
Site Visit at Rwamwanja refugee settlement  	http://www.devtrac.ug/node/10227	Rwamwanja refugee settlement 	http://www.devtrac.ug/node/10226	Yusuf Atef	08/04/2013	Site Visit	Other Health Centre	In Progress		Kamwenge			
